rank,canonical_id,canonical_name,medium,language,year,decade,primary_genre,theme,genres,popularity,favourites,trending,blended_score,native,aliases,site_url,anilist_id
13,eleceed,Eleceed,webtoon,ko,2018,2010s,Action,Urban Fantasy,Action|Comedy|Supernatural,43528,4077,13,0.5856,일렉시드,Eleceed: Velocidad eléctrica|覺醒吧！貓奴|觉醒吧，铲屎官！|일렉시드,https://anilist.co/manga/106929,106929
14,sss-class-revival-hunter,SSS-Class Revival Hunter,webtoon,ko,2020,2020s,Action,Time Manipulation,Action|Adventure|Drama|Fantasy|Supernatural,63373,4417,1,0.584,SSS급 죽어야 사는 헌터,SSS-Class Suicide Hunter|SSS-geup Jugeoya Saneun Hunter|SSS級死而復生的獵人|SSS급 자살헌터|SSS급 죽어야 사는 헌터|นักล่าพลีชีพ ระดับ SSS|死して生きるSSS級ハンター,https://anilist.co/manga/128067,128067
15,teenage-mercenary,Teenage Mercenary,webtoon,ko,2020,2020s,Action,Kuudere,Action|Drama,54340,3139,4,0.5775,입학용병,High School Mercenary|High School Soldier|Iphagyongbyeong|Mercenario adolescente|Mercenary Enrollment|พี่ชายสายบอดี้การ์ด|入学傭兵|入學傭兵|少年佣兵|입학용병,https://anilist.co/manga/126297,126297
16,second-life-ranker,Second Life Ranker,manhwa,ko,2019,2010s,Action,Alternate Universe,Action|Adventure|Fantasy,43108,1994,11,0.577,두번사는랭커,Dubeon Saneun Ranker|Ranker Who Lives a Second Time|The Ranker Who Lives Twice|เกมชีวิตที่สอง ของแรงเกอร์|二度生きるランカー|異界攻塔戰記|두번사는랭커,https://anilist.co/manga/109957,109957
17,66-666-years-advent-of-the-dark-mage,"66,666 Years: Advent of the Dark Mage",manhwa,ko,2021,2020s,Adventure,Gods,Adventure|Fantasy,24182,771,27,0.5701,66666년만에 환생한 흑마법사,66666-nyeonmane Hwansaenghan Heungmabeopsa|66666年後轉生的黑魔法師|66666년만에 환생한 흑마법사|The Dark Magician Transmigrates After 66666 Years|จอมเวทเกิดใหม่ในรอบ 66666 ปี,https://anilist.co/manga/137595,137595
18,the-stellar-swordmaster,The Stellar Swordmaster,manhwa,ko,2023,2020s,Action,Swordplay,Action|Adventure|Fantasy,27294,1267,23,0.5691,별을 품은 소드마스터,Byeoreul Pumeun Swordmaster|Maestro de espadas estelar|Star-Embracing Swordmaster|ยอดนักดาบผู้โอบอุ้มดารา|星剑大师|星耀劍士|별을 품은 소드마스터,https://anilist.co/manga/170400,170400
19,revenge-of-the-baskerville-bloodhound,Revenge of the Baskerville Bloodhound,webtoon,ko,2023,2020s,Action,Age Regression,Action|Fantasy,41179,2271,10,0.568,철혈검가 사냥개의 회귀,Cheolhyeolgeomga Sanyanggaeui Hoegwi|Die Rückkehr des Jagdhundes aus Eisen und Blut|Revenge of the Iron-Blooded Sword Hound|Revenge of the Sword Clan's Hound|回帰した鉄血の猟犬|铁血剑家猎犬的回归|철혈검가 사냥개의 회귀,https://anilist.co/manga/163824,163824
20,the-god-of-high-school,The God of High School,manhwa,ko,2011,2010s,Action,Martial Arts,Action|Adventure|Fantasy,53333,2745,2,0.5679,갓 오브 하이스쿨,GoH|God of High School|เทพเกรียน โรงเรียนมัธยม|高校之神|갓 오브 하이스쿨,https://anilist.co/manga/85141,85141
21,sweet-home,Sweet Home,manhwa,ko,2017,2010s,Drama,Post-Apocalyptic,Drama|Horror|Psychological|Supernatural|Thriller,54020,3132,0,0.5619,스위트홈,Dulce Hogar|스위트홈,https://anilist.co/manga/100954,100954
22,the-lazy-lord-masters-the-sword,The Lazy Lord Masters the Sword,manhwa,ko,2021,2020s,Action,Swordplay,Action|Adventure|Fantasy,30582,1156,17,0.5598,"나태 공자, 노력 천재 되다","Der faule Lord meistert die Schwertkunst|Natae Gongja, Nolyeog Cheonjae Doeda|Reformation of the Deadbeat Noble|The Lazy Prince Becomes a Genius|懶惰公子成長記|나태 공자, 노력 천재 되다",https://anilist.co/manga/135325,135325
23,lookism,Lookism,webtoon,ko,2014,2010s,Action,Body Swapping,Action|Comedy|Drama|Supernatural,43613,2955,6,0.5597,외모지상주의,APARI3NCIAS|Oemo Jisangjuui|外見至上主義|외모지상주의,https://anilist.co/manga/86848,86848
24,the-swordmaster-s-son,The Swordmaster's Son,manhwa,ko,2022,2020s,Action,Age Regression,Action|Adventure|Fantasy,40510,1938,8,0.5586,검술명가 막내아들,Geomsulmyeongga Mangnaeadeul|Swordmaster's Youngest Son|The Youngest Son of a Master Swordsman|Youngest Son of the Renowned Swordsmanship Clan|剑术名门的小儿子|剣術名家の末息子|劍術名家的小兒子|검술명가 막내아들,https://anilist.co/manga/149332,149332
25,the-world-after-the-fall,The World After the Fall,manhwa,ko,2022,2020s,Action,Dungeon,Action|Adventure|Fantasy,41800,1634,7,0.5585,멸망 이후의 세계,El mundo después del cataclismo|Myeolmang Ihuui Segye|The World After the End|หลังวันสิ้นโลก|滅亡後的世界|灭亡之后的世界|멸망 이후의 세계,https://anilist.co/manga/144957,144957
26,overgeared,Overgeared,webtoon,ko,2020,2020s,Action,Video Games,Action|Adventure|Comedy|Fantasy,36388,1878,11,0.5575,템빨,Temppal|テムパル〜アイテムの力〜|装备我最强|裝備仔|템빨,https://anilist.co/manga/117460,117460
27,the-legend-of-the-northern-blade,The Legend of the Northern Blade,manhwa,ko,2019,2010s,Action,Martial Arts,Action|Adventure|Fantasy,43700,3017,5,0.5562,북검전기,Bukgeom Jeongi|北剑江湖|북검전기,https://anilist.co/manga/119521,119521
28,a-returner-s-magic-should-be-special,A Returner's Magic Should Be Special,manhwa,ko,2018,2010s,Action,Magic,Action|Adventure|Fantasy,48031,1978,2,0.5558,귀환자의 마법은 특별해야 합니다,A Magia de Um Retornado Tem de Ser Especial|Gwihwanjaui Mabeobeun Teukbyeolhaeya Hamnida|Kikansha no Mahou wa Tokubetsu desu|Returner's Special Magic|Магія поверненого має бути особливою|พลังขั้นเทพของจอมเวทจุติใหม่|帰還者の魔法は特別です|重生者的魔法一定要特別|귀환자의 마법은 특별해야 합니다,https://anilist.co/manga/105393,105393
29,lout-of-count-s-family,Lout of Count’s Family,webtoon,ko,2020,2020s,Action,Isekai,Action|Adventure|Comedy|Fantasy,42380,2176,4,0.5489,백작가의 망나니가 되었다,Baekjakgaui Mangnaniga Doeeotda|Je suis devenu le voyou de la famille du comte|La Basura De La Familia Del Conde|La Canaille du Comté|Pembuat Onar di Keluarga Count|TCF|Trash Count|Trash of the Count's Family|อันธพาลแห่งตระกูลเคานต์|伯爵家の暴れん坊になった|成为伯爵家的废物|變成伯爵家的混混|백작가의 망나니가 되었다,https://anilist.co/manga/123573,123573
30,the-boxer,The Boxer,manhwa,ko,2019,2010s,Action,Boxing,Action|Drama|Sports,42067,2958,4,0.548,더 복서,El boxeador|Боксер.|ザ・ボクサー|拳击手|더 복서,https://anilist.co/manga/119174,119174
31,the-archmage-returns-after-4000-years,The Archmage Returns After 4000 Years,webtoon,ko,2020,2020s,Action,Magic,Action|Adventure|Fantasy,36798,1445,5,0.5364,4000년 만에 귀환한 대마도사,4000 Nyeon Mane Gwihwanhan Daemadosa|4000年ぶりに帰還した大魔導士|4000년 만에 귀환한 대마도사|Le retour du grand Mage|The Great Mage Returns After 4000 Years|มหาจอมเวทผู้กลับมาอีกครั้งหลัง 4000 ปี,https://anilist.co/manga/118424,118424
32,doom-breaker,Doom Breaker,manhwa,ko,2021,2020s,Action,Dungeon,Action|Fantasy,38720,1659,3,0.5348,투신전생기,Doom Breaker: Venganza contra los Dioses|Reincarnation of the Suicidal Battle God|Tusinjeonsaenggi|เกิดใหม่นักรบพันธุ์ระห่ำ|斗神转生记|鬥神轉生記|투신전생기,https://anilist.co/manga/136220,136220
33,wind-breaker,Wind Breaker,webtoon,ko,2013,2010s,Action,Cycling,Action|Comedy|Drama|Romance|Sports,41303,3555,1,0.5347,윈드브레이커,ปั่นสู้ฝัน Wind Breaker|ウインドブレーカー|冲锋衣|衝鋒衣|윈드브레이커,https://anilist.co/manga/86099,86099
34,latna-saga-survival-of-a-sword-king,Latna Saga: Survival of a Sword King,manhwa,ko,2019,2010s,Action,Swordplay,Action|Adventure|Fantasy,33986,1472,7,0.5347,이계 검왕 생존기,Igye Geomwang Saengjongi|Latna Saga: A Jornada do Rei Espadachim|Otherworldly Sword King's Survival Records|Survival Story of a Sword King in a Fantasy World|การเอาชีวิตรอดของราชาดาบในต่างโลก|拔剑九亿次|異世界剣王生存記|異界劍王生存記|이계 검왕 생존기,https://anilist.co/manga/114605,114605
35,villains-are-destined-to-die,Villains Are Destined to Die,webtoon,ko,2020,2020s,Drama,Villainess,Drama|Fantasy|Psychological|Romance,39742,3695,1,0.5303,악역의 엔딩은 죽음뿐,Agyeogui Ending Jugeumppun|Death Is The Only Ending For The Villainess|Kematian adalah Akhir Sang Antagonis|Kötülerin Kaderi Yok Olmaktır|O Único Destino da Vilã é a Morte|O Único Destino dos Vilões é a Morte|Penelope – Das Böse ist dem Tod geweiht|Przeznaczeniem Złoczyńców jest śmierć|Seule la mort attend la Vilaine|The Villain's Ending Is Death|Єдиний фінал лиходіїв – смерть|Единственный конец злодейки - смерть|เป็นตัวร้ายก็ต้องตายเท่านั้น|反派角色只有死亡結局|恋爱手游的男主都很危险|恶役只有死亡结局|悪役のエンディングは死のみ|악역의 엔딩은 죽음뿐,https://anilist.co/manga/118408,118408
36,who-made-me-a-princess,Who Made Me a Princess,webtoon,ko,2017,2010s,Comedy,Reincarnation,Comedy|Fantasy|Romance,38532,3830,1,0.5267,어느 날 공주가 되어버렸다,"Dites-Moi, Princesse!|Eoneu Nal Gongjuga Doeeobeoryeotda|One Day, I Became a Princess|Plötzlich Prinzessin|Princesa Encantadora|Suddenly Became A Princess One Day|Suddenly, I Became a Princess|Un dia me converti en una princesa|WMMAP|¿Cómo Me Convertí En Princesa?|Однажды я стала принцессой|Одного разу я стала принцесою|อยู่ๆ ฉันก็กลายเป็นเจ้าหญิง|ある日、お姫様になってしまった件について|某天成为公主|某天成為公主|어느 날 공주가 되어버렸다",https://anilist.co/manga/107521,107521
37,tomb-raider-king,Tomb Raider King,manhwa,ko,2019,2010s,Action,Mythology,Action|Adventure|Fantasy,34427,1330,4,0.525,도굴왕,Der König der Grabräuber|Dogul Wang|我独自盗墓|盗掘王|盜墓王|도굴왕,https://anilist.co/manga/110462,110462
38,the-novel-s-extra,The Novel's Extra,manhwa,ko,2022,2020s,Action,Isekai,Action|Adventure|Drama|Fantasy,27376,1106,11,0.5247,소설 속 엑스트라,Soseol Sok Extra|The Ghost Writing Hero|The Novel's Extra (2022)|The Novel's Extra (Remake)|ผมก็แค่ตัวประกอบในนิยาย|小説の中のエキストラ|成為我筆下小說的路人甲|소설 속 엑스트라,https://anilist.co/manga/152128,152128
39,the-player-who-can-t-level-up,The Player Who Can't Level Up,manhwa,ko,2021,2020s,Action,Dungeon,Action|Fantasy,34275,1120,4,0.5245,레벨업 못하는 플레이어,Level-Up Motaneun Player|The Player That Can't Level Up|The Player Who Can't Level Up: O Mestre dos Egos|เพลเยอร์เลเวลไม่อัป|无法升级的玩家|레벨업 못하는 플레이어,https://anilist.co/manga/130511,130511
40,the-breaker,THE BREAKER,manhwa,ko,2007,2000s,Action,Martial Arts,Action|Comedy|Drama,38866,1398,0,0.524,브레이커,The Breaker|브레이커,https://anilist.co/manga/38586,38586
41,noblesse,Noblesse,webtoon,ko,2007,2000s,Action,Super Power,Action|Adventure|Comedy|Supernatural,34083,1321,3,0.5201,노블레스,大貴族|노블레스,https://anilist.co/manga/59983,59983
42,return-of-the-mad-demon,Return of the Mad Demon,webtoon,ko,2021,2020s,Action,Martial Arts,Action|Fantasy,25265,1225,12,0.5192,광마회귀,Gwangmahoegwi|The Return of the Crazy Demon|อสูรคลั่งผู้หวนคืน|狂魔重生|狂魔重生記|광마회귀,https://anilist.co/manga/137304,137304
43,the-regressed-mercenary-has-a-plan,The Regressed Mercenary Has a Plan,manhwa,ko,2024,2020s,Action,Revenge,Action|Fantasy,20197,823,18,0.5158,회귀한 용병은 다 계획이 있다,El mercenario que regresó tiene un plan|Hoegwihan Yongbyeongeun Da Gyehoegi Itda|The Regressed Mercenary’s Machinations|แผนเปลี่ยนชะตาของทหารรับจ้าง|逆行傭兵は全て計画済み|重生佣兵王的复仇|重生傭兵的完美計畫|회귀한 용병은 다 계획이 있다,https://anilist.co/manga/182066,182066
44,the-max-level-hero-strikes-back,The Max Level Hero Strikes Back!,manhwa,ko,2020,2020s,Action,Politics,Action|Adventure|Fantasy,30140,900,5,0.5134,만렙 영웅님 께서 귀환 하신다!,Mallep Yeongungnim Kkeseo Gwihwan Hasinda!|Max Level Hero|Max Level Hero is Making a Comeback!|Saishuu Level Eiyuu no go Kikan|The Max Level Hero has Returned!|การกลับมาของวีรบุรุษเวลตัน|最終レベル英雄のご帰還|英雄大人滿級回歸|만렙 영웅님 께서 귀환 하신다!,https://anilist.co/manga/125636,125636
45,the-knight-only-lives-today,The Knight Only Lives Today,manhwa,ko,2024,2020s,Action,Time Loop,Action|Fantasy,23105,1407,13,0.5126,오늘만 사는 기사,Der Ritter lebt nur heute|Eternally Regressing Knight|Oneulman Saneun Gisa|อัศวินวันเดียว|今日騎士|只活今天的轮回骑士|死に戻り騎士は今日も生きる|오늘만 사는 기사,https://anilist.co/manga/177706,177706
46,the-academy-s-genius-swordsman,The Academy's Genius Swordsman,manhwa,ko,2023,2020s,Action,Swordplay,Action|Fantasy,26697,757,8,0.5106,아카데미의 천재칼잡이,Academy Cheonjaekaljabi|Academy's Genius Swordmaster|L'épéiste prodige de l'Académie|學院天才劍客|皇家学院的天才剑豪|아카데미의 천재칼잡이,https://anilist.co/manga/167649,167649
47,my-blasted-reincarnated-life,My Blasted Reincarnated Life,manhwa,ko,2022,2020s,Action,Reincarnation,Action|Adventure|Drama|Fantasy,33360,1433,0,0.5064,빌어먹을 환생,Bireomeogeul Hwansaeng|Damn Reincarnation|빌어먹을 환생,https://anilist.co/manga/151512,151512
48,villain-to-kill,Villain to Kill,manhwa,ko,2021,2020s,Action,Super Power,Action|Supernatural,21111,668,14,0.506,빌런투킬,Un villano para matar|反派絕殺|反派绝杀|빌런투킬,https://anilist.co/manga/130149,130149
49,solo-leveling-ragnarok,Solo Leveling: Ragnarok,webtoon,ko,2024,2020s,Action,Super Power,Action|Adventure|Fantasy,30756,1163,1,0.5008,나 혼자만 레벨업 : 라그나로크,Na Honjaman Level Up: Ragnarok|俺だけレベルアップな件〜ラグナロク〜|我独自升级 : 诸神黄昏|나 혼자만 레벨업 : 라그나로크,https://anilist.co/manga/179445,179445
50,after-ten-millennia-in-hell,After Ten Millennia in Hell,manhwa,ko,2022,2020s,Action,Dungeon,Action|Adventure|Fantasy,30098,1051,1,0.4983,만 년 만에 귀환한 플레이어,"1万年ぶりに帰還したプレイヤー|Man Nyeon Mane Gwihwanhan Player|Player Who Returned 10,000 Years Later|เพลเยอร์ผู้กลับมาในรอบหมื่นปี|歷經萬年回歸的玩家|만 년 만에 귀환한 플레이어",https://anilist.co/manga/153284,153284
51,my-s-class-hunters,My S-Class Hunters,manhwa,ko,2021,2020s,Action,Found Family,Action|Adventure|Fantasy,19719,855,14,0.4981,내가 키운 S급들,Los clase S que crié|Naega Kiun S-Geupdeul|The S-Classes That I Raised|The S-Grades I Raised|我培养的S级们|我培育的S級們|내가 키운 S급들,https://anilist.co/manga/141958,141958
52,how-to-use-a-returner,How to Use a Returner,webtoon,ko,2021,2020s,Action,Dungeon,Action|Adventure|Fantasy,22835,809,9,0.4964,회귀자 사용설명서,Como Usar um Regressor|Hoegwija Sayongseolmyeongseo|Regressor Instruction Manual|คู่มือการใช้งานของนักข้ามเวลา|重生使用說明書|회귀자 사용설명서,https://anilist.co/manga/141007,141007
53,the-extra-s-academy-survival-guide,The Extra’s Academy Survival Guide,manhwa,ko,2023,2020s,Action,Magic,Action|Fantasy,26849,1478,4,0.4964,아카데미에서 살아남기,Academy-eseo Saranamgi|三流反派的學院生存記|아카데미에서 살아남기,https://anilist.co/manga/172619,172619
54,level-up-with-the-gods,Level Up with the Gods,manhwa,ko,2021,2020s,Action,Gods,Action|Fantasy,27486,1098,3,0.4953,신과 함께 레벨업,Leveling With The Gods|Singwa Hamkke Level Up|Subi de Nível Com os Deuses|เลเวลอัปไปกับเทพเจ้า|神と共にレベルアップ|신과 함께 레벨업,https://anilist.co/manga/138222,138222
55,the-return-of-the-8th-class-mage,The Return of the 8th Class Mage,manhwa,ko,2021,2020s,Action,Age Regression,Action|Fantasy,26274,709,4,0.4939,8클래스 마법사의 회귀,8 Class Mabeopsaui Hoegwi|8級魔法師再臨|8클래스 마법사의 회귀|Le Retour du magicien de classe 8|Return of the 8th Class Magician|การกลับมาของจอมเวทระดับ 8,https://anilist.co/manga/136331,136331
56,demon-devourer,Demon Devourer,manhwa,ko,2021,2020s,Action,Demons,Action|Adventure|Fantasy,16951,433,17,0.4919,재능 삼킨 마법사,Jaeneung Samkin Mabeopsa|Talent Swallowing Magician|재능 삼킨 마법사,https://anilist.co/manga/144079,144079
57,mythic-item-obtained,Mythic Item Obtained,manhwa,ko,2022,2020s,Action,Gods,Action|Adventure|Fantasy,24358,743,5,0.4889,신화급 귀속 아이템을 손에 넣었다,"I Obtained a Mythic Item|Sinhwageup Gwisok Item-eul Sone Neoeotda|À moi, l'item légendaire|พลิกชะตาคว้าไอเทมระดับเทพ|入手神话级专属装备|神話級の帰属アイテムを手に入れた|神話級道具入手了！|신화급 귀속 아이템을 손에 넣었다",https://anilist.co/manga/151025,151025
58,viral-hit,Viral Hit,manhwa,ko,2019,2010s,Action,Martial Arts,Action|Comedy,27497,1407,1,0.4879,싸움독학,Hit Viral|How to Fight|Kenka Dougaku|Ssaumdokak|นักสู้ทูปเบอร์|喧嘩独学|格鬥實況|싸움독학,https://anilist.co/manga/121991,121991
59,i-shall-master-this-family,I Shall Master this Family!,webtoon,ko,2021,2020s,Drama,Royal Affairs,Drama|Fantasy|Romance,23305,1717,6,0.4875,이번 생은 가주가 되겠습니다,"I'll Be the Matriarch in This Life|Ibeon Saengeun Gajuga Doegetseumnida|In This Life, I Will Be the Lord|La Nouvelle Cheffe de Clan|Serei A Matriarca Nesta Vida|На сей раз я - хозяйка этой жизни|เกิดใหม่ชาตินี้ฉันจะเป็นเจ้าตระกูล|今世は当主になります|今生我來當家主|这一世我来当家主|이번 생은 가주가 되겠습니다",https://anilist.co/manga/130429,130429
60,the-reason-why-raeliana-ended-up-at-the-duke-s-mansion,The Reason Why Raeliana Ended Up at the Duke's Mansion,manhwa,ko,2017,2010s,Comedy,Isekai,Comedy|Fantasy|Mystery|Romance,27738,1837,0,0.4852,그녀가 공작저로 가야 했던 사정,"Comment j'ai survécu au Manoir Wynknight|Cómo Raeliana acabó en la mansión del Duque|Geunyeoga Gongjakjeoro Gaya Haetdeon Sajeong|Kanojo ga Koushaku Yashiki ni itta Riyuu|Okoliczności, które sprawiły, że Raeliana trafiła do posiadłości diuka|Raeliana – Warum sie die Verlobte des Dukes wurde|Tunangan Kontrak Duke|Vị Hôn Thê Khế Ước Của Công Tước|Why Raeliana Ended Up at the Duke's Mansion|Реліана: Наречена герцога за контрактом|พระเอกของฉันเป็นท่านดยุค|公爵的契约未婚妻|彼女が公爵邸に行った理由|그녀가 공작저로 가야 했던 사정",https://anilist.co/manga/104973,104973
61,maybe-meant-to-be,Maybe Meant to Be,webtoon,ko,2022,2020s,Comedy,Marriage,Comedy|Drama|Romance,26198,1075,1,0.4823,어쩌다보니 천생연분,Eojjeodaboni Cheonsaengyeonbun|Match Made in Heaven by Chance|Quizás fue el Destino|โชคชะตานำพารัก|偶然成了天生一對|어쩌다보니 천생연분,https://anilist.co/manga/146139,146139
62,i-killed-the-main-player,I Killed the Main Player,webtoon,ko,2023,2020s,Action,Magic,Action|Fantasy,19937,661,9,0.4807,아카데미 플레이어를 죽였다,Academy Player-reul Jungnyeotda|I Killed an Academy Player|ไอ้เพลเยอร์นั่น ฉันฆ่ามันเอง|我杀了学院玩家|아카데미 플레이어를 죽였다,https://anilist.co/manga/173020,173020
63,the-100th-regression-of-the-max-level-player,The 100th Regression of the Max-Level Player,manhwa,ko,2023,2020s,Action,Reincarnation,Action|Adventure|Fantasy|Supernatural,20376,699,8,0.4795,만렙 플레이어의 100번째 회귀,Mallep Player-ui 100-beonjjae Hoegwi|The Max-Level Player's 100th Regression|การกลับมาครั้งที่ 100 ของผู้เล่นเลเวลแม็กซ์|만렙 플레이어의 100번째 회귀,https://anilist.co/manga/170894,170894
64,the-reborn-young-lord-is-an-assassin,The Reborn Young Lord is an Assassin,manhwa,ko,2024,2020s,Action,Assassins,Action|Fantasy,21619,578,6,0.4789,회귀한 공작가의 막내도련님은 암살자,El joven señor renacido es un asesino|Hoegwihan Gongjakgaui Mangnaedoryeonnimeun Amsalja|The Regressed Son of a Duke Is an Assassin|The Regressed Youngest Son of the Duke is an Assassin|ลูกชายคนเล็กของดยุกคือมือสังหาร|회귀한 공작가의 막내도련님은 암살자,https://anilist.co/manga/175262,175262
65,the-frozen-player-returns,The Frozen Player Returns,manhwa,ko,2021,2020s,Action,Dungeon,Action|Adventure|Fantasy,25239,702,1,0.478,얼어붙은 플레이어의 귀환,Eoreobuteun Peulleieoui Gwihwan|Return Of The Frozen Player|การกลับมาของเพลเยอร์แช่แข็ง|闇夜英雄破冰而出|얼어붙은 플레이어의 귀환,https://anilist.co/manga/130870,130870
66,beware-the-villainess,Beware the Villainess!,webtoon,ko,2020,2020s,Comedy,Villainess,Comedy|Drama|Fantasy|Romance,25640,1397,0,0.4761,그 악녀를 조심하세요!,Gare à la vilaine!|Geu Angnyeoreul Josimhaseyo!|ระวังไว้ ยัยตัวร้ายกำลังมา|その悪女に気をつけてください|小心那个恶女！|恶毒女配今天不营业|惡女出沒請小心|그 악녀를 조심하세요!,https://anilist.co/manga/117540,117540
67,the-academy-s-sashimi-sword-master,The Academy’s Sashimi Sword Master,webtoon,ko,2024,2020s,Action,Female Harem,Action|Fantasy,12152,363,23,0.476,사시미 한 자루로 아카데미를 씹어먹음,Conquering the Academy with Just a Sashimi Knife|I Took Over the Academy with a Single Sashimi Knife|Sashimi Han Jaruro Academy-reul Ssipeomeokeum|ชำแหละอะคาเดมีด้วยมีดแล่ปลา|刺身刀制霸英雄学院|刺身刀英雄橫掃學院|사시미 한 자루로 아카데미를 씹어먹음,https://anilist.co/manga/184502,184502
68,the-skeleton-soldier-failed-to-defend-the-dungeon,The Skeleton Soldier Failed to Defend the Dungeon,manhwa,ko,2018,2010s,Action,Time Manipulation,Action|Adventure|Drama|Fantasy|Supernatural,24497,913,1,0.4746,해골병사는 던전을 지키지 못했다,Haegolbyeongsaneun Dungeon-eul Jikiji Motaetda|Skeleton Soldier Couldn't Protect the Dungeon|พลทหารโครงกระดูกผู้มิอาจปกป้องดันเจี้ยน|从1级开始的异世界骑士|骷髏士兵卷土重來|骸骨兵士はダンジョンを守れなかった|해골병사는 던전을 지키지 못했다,https://anilist.co/manga/103156,103156
