date,canonical_id,mentions_count,engagement_score,track
2024-07-20,nano-machine,32.6,25.7,synthetic
2024-07-21,nano-machine,36.9,49.0,synthetic
2024-07-22,nano-machine,25.6,21.8,synthetic
2024-07-23,nano-machine,22.6,16.2,synthetic
2024-07-24,nano-machine,25.1,28.1,synthetic
2024-07-25,nano-machine,37.7,29.0,synthetic
2024-07-26,nano-machine,28.0,20.8,synthetic
2024-07-27,nano-machine,27.6,23.4,synthetic
2024-07-28,nano-machine,30.7,35.5,synthetic
2024-07-29,nano-machine,25.4,18.8,synthetic
2024-07-30,nano-machine,20.9,18.5,synthetic
2024-07-31,nano-machine,28.6,16.1,synthetic
2024-08-01,nano-machine,49.8,42.9,synthetic
2024-08-02,nano-machine,29.7,17.8,synthetic
2024-08-03,nano-machine,32.0,24.3,synthetic
2024-08-04,nano-machine,32.5,21.4,synthetic
2024-08-05,nano-machine,25.3,20.7,synthetic
2024-08-06,nano-machine,60.3,40.4,synthetic
2024-08-07,nano-machine,37.5,28.6,synthetic
2024-08-08,nano-machine,43.2,30.8,synthetic
2024-08-09,nano-machine,24.4,23.5,synthetic
2024-08-10,nano-machine,33.4,18.3,synthetic
2024-08-11,nano-machine,32.0,24.5,synthetic
2024-08-12,nano-machine,18.2,11.4,synthetic
2024-08-13,nano-machine,34.8,33.9,synthetic
2024-08-14,nano-machine,24.0,15.9,synthetic
2024-08-15,nano-machine,51.3,54.5,synthetic
2024-08-16,nano-machine,32.4,20.6,synthetic
2024-08-17,nano-machine,40.2,36.2,synthetic
2024-08-18,nano-machine,29.2,19.3,synthetic
2024-08-19,nano-machine,25.3,16.6,synthetic
2024-08-20,nano-machine,22.0,16.4,synthetic
2024-08-21,nano-machine,68.6,43.7,synthetic
2024-08-22,nano-machine,137.2,112.4,synthetic
2024-08-23,nano-machine,31.2,37.5,synthetic
2024-08-24,nano-machine,42.2,51.5,synthetic
2024-08-25,nano-machine,33.7,19.8,synthetic
2024-08-26,nano-machine,31.2,16.7,synthetic
2024-08-27,nano-machine,30.5,24.1,synthetic
2024-08-28,nano-machine,25.3,25.6,synthetic
2024-08-29,nano-machine,41.2,25.8,synthetic
2024-08-30,nano-machine,41.3,36.4,synthetic
2024-08-31,nano-machine,29.7,33.1,synthetic
2024-09-01,nano-machine,28.3,21.3,synthetic
2024-09-02,nano-machine,28.4,30.7,synthetic
2024-09-03,nano-machine,20.0,18.3,synthetic
2024-09-04,nano-machine,30.1,27.9,synthetic
2024-09-05,nano-machine,51.0,42.5,synthetic
2024-09-06,nano-machine,29.6,24.3,synthetic
2024-09-07,nano-machine,40.3,33.7,synthetic
2024-09-08,nano-machine,23.4,20.1,synthetic
2024-09-09,nano-machine,37.5,34.3,synthetic
2024-09-10,nano-machine,33.3,23.6,synthetic
2024-09-11,nano-machine,29.6,27.1,synthetic
2024-09-12,nano-machine,45.9,42.7,synthetic
2024-09-13,nano-machine,33.3,23.3,synthetic
2024-09-14,nano-machine,28.2,18.6,synthetic
2024-09-15,nano-machine,29.4,16.7,synthetic
2024-09-16,nano-machine,34.0,18.8,synthetic
2024-09-17,nano-machine,37.4,28.8,synthetic
2024-09-18,nano-machine,25.2,20.1,synthetic
2024-09-19,nano-machine,56.6,58.9,synthetic
2024-09-20,nano-machine,40.4,32.5,synthetic
2024-09-21,nano-machine,29.1,29.9,synthetic
2024-09-22,nano-machine,34.6,27.0,synthetic
2024-09-23,nano-machine,36.9,27.1,synthetic
2024-09-24,nano-machine,26.8,15.4,synthetic
2024-09-25,nano-machine,27.1,16.8,synthetic
2024-09-26,nano-machine,54.0,38.5,synthetic
2024-09-27,nano-machine,28.4,16.2,synthetic
2024-09-28,nano-machine,40.4,21.6,synthetic
2024-09-29,nano-machine,26.6,17.0,synthetic
2024-09-30,nano-machine,37.4,31.4,synthetic
2024-10-01,nano-machine,29.6,24.2,synthetic
2024-10-02,nano-machine,23.5,18.4,synthetic
2024-10-03,nano-machine,56.5,60.1,synthetic
2024-10-04,nano-machine,28.9,22.5,synthetic
2024-10-05,nano-machine,27.2,17.1,synthetic
2024-10-06,nano-machine,33.6,27.9,synthetic
2024-10-07,nano-machine,28.3,27.5,synthetic
2024-10-08,nano-machine,33.0,32.9,synthetic
2024-10-09,nano-machine,33.0,34.1,synthetic
2024-10-10,nano-machine,53.3,39.3,synthetic
2024-10-11,nano-machine,29.9,28.4,synthetic
2024-10-12,nano-machine,34.3,26.4,synthetic
2024-10-13,nano-machine,32.3,23.3,synthetic
2024-10-14,nano-machine,41.6,22.3,synthetic
2024-10-15,nano-machine,30.5,30.7,synthetic
2024-10-16,nano-machine,29.9,30.9,synthetic
2024-10-17,nano-machine,56.0,38.2,synthetic
2024-10-18,nano-machine,27.0,21.4,synthetic
2024-10-19,nano-machine,31.4,14.7,synthetic
2024-10-20,nano-machine,46.7,26.8,synthetic
2024-10-21,nano-machine,30.9,24.6,synthetic
2024-10-22,nano-machine,26.7,23.6,synthetic
2024-10-23,nano-machine,28.2,26.0,synthetic
2024-10-24,nano-machine,107.4,126.2,synthetic
2024-10-25,nano-machine,59.3,47.8,synthetic
2024-10-26,nano-machine,55.2,33.9,synthetic
2024-10-27,nano-machine,37.2,28.9,synthetic
2024-10-28,nano-machine,47.6,41.3,synthetic
2024-10-29,nano-machine,35.0,26.2,synthetic
2024-10-30,nano-machine,31.3,23.4,synthetic
2024-10-31,nano-machine,56.2,43.1,synthetic
2024-11-01,nano-machine,33.1,27.5,synthetic
2024-11-02,nano-machine,33.3,18.8,synthetic
2024-11-03,nano-machine,34.1,17.5,synthetic
2024-11-04,nano-machine,25.8,16.1,synthetic
2024-11-05,nano-machine,37.6,36.3,synthetic
2024-11-06,nano-machine,34.3,25.8,synthetic
2024-11-07,nano-machine,60.0,43.7,synthetic
2024-11-08,nano-machine,44.9,45.8,synthetic
2024-11-09,nano-machine,42.1,36.9,synthetic
2024-11-10,nano-machine,32.6,30.8,synthetic
2024-11-11,nano-machine,40.6,36.9,synthetic
2024-11-12,nano-machine,39.9,36.3,synthetic
2024-11-13,nano-machine,34.9,44.8,synthetic
2024-11-14,nano-machine,65.0,41.0,synthetic
2024-11-15,nano-machine,28.5,26.9,synthetic
2024-11-16,nano-machine,24.1,13.6,synthetic
2024-11-17,nano-machine,19.2,16.2,synthetic
2024-11-18,nano-machine,37.4,22.4,synthetic
2024-11-19,nano-machine,33.7,27.8,synthetic
2024-11-20,nano-machine,35.1,26.8,synthetic
2024-11-21,nano-machine,50.4,47.3,synthetic
2024-11-22,nano-machine,40.9,35.7,synthetic
2024-11-23,nano-machine,43.0,38.3,synthetic
2024-11-24,nano-machine,48.7,33.5,synthetic
2024-11-25,nano-machine,32.8,24.4,synthetic
2024-11-26,nano-machine,40.0,27.7,synthetic
2024-11-27,nano-machine,33.4,37.2,synthetic
2024-11-28,nano-machine,80.4,104.2,synthetic
2024-11-29,nano-machine,34.8,22.5,synthetic
2024-11-30,nano-machine,40.4,38.2,synthetic
2024-12-01,nano-machine,38.7,29.8,synthetic
2024-12-02,nano-machine,29.4,23.6,synthetic
2024-12-03,nano-machine,45.5,41.6,synthetic
2024-12-04,nano-machine,26.6,28.0,synthetic
2024-12-05,nano-machine,95.0,71.8,synthetic
2024-12-06,nano-machine,23.6,31.7,synthetic
2024-12-07,nano-machine,27.7,34.3,synthetic
2024-12-08,nano-machine,32.8,34.3,synthetic
2024-12-09,nano-machine,35.0,28.4,synthetic
2024-12-10,nano-machine,31.6,31.2,synthetic
2024-12-11,nano-machine,38.0,32.9,synthetic
2024-12-12,nano-machine,60.0,65.7,synthetic
2024-12-13,nano-machine,34.7,31.0,synthetic
2024-12-14,nano-machine,34.9,34.6,synthetic
2024-12-15,nano-machine,39.7,23.8,synthetic
2024-12-16,nano-machine,23.7,25.8,synthetic
2024-12-17,nano-machine,35.5,36.3,synthetic
2024-12-18,nano-machine,33.7,34.4,synthetic
2024-12-19,nano-machine,62.7,43.2,synthetic
2024-12-20,nano-machine,69.8,59.0,synthetic
2024-12-21,nano-machine,55.1,44.9,synthetic
2024-12-22,nano-machine,40.0,37.7,synthetic
2024-12-23,nano-machine,26.2,14.8,synthetic
2024-12-24,nano-machine,27.4,12.8,synthetic
2024-12-25,nano-machine,32.1,33.2,synthetic
2024-12-26,nano-machine,55.1,41.7,synthetic
2024-12-27,nano-machine,34.1,30.0,synthetic
2024-12-28,nano-machine,38.8,43.2,synthetic
2024-12-29,nano-machine,26.0,21.5,synthetic
2024-12-30,nano-machine,28.6,20.0,synthetic
2024-12-31,nano-machine,37.7,29.7,synthetic
2025-01-01,nano-machine,33.0,24.1,synthetic
2025-01-02,nano-machine,53.4,38.2,synthetic
2025-01-03,nano-machine,32.5,25.0,synthetic
2025-01-04,nano-machine,44.0,35.6,synthetic
2025-01-05,nano-machine,38.5,27.4,synthetic
2025-01-06,nano-machine,37.3,27.5,synthetic
2025-01-07,nano-machine,29.1,26.2,synthetic
2025-01-08,nano-machine,36.6,33.3,synthetic
2025-01-09,nano-machine,71.2,63.9,synthetic
2025-01-10,nano-machine,30.0,21.4,synthetic
2025-01-11,nano-machine,26.4,21.0,synthetic
2025-01-12,nano-machine,37.9,37.7,synthetic
2025-01-13,nano-machine,25.0,17.3,synthetic
2025-01-14,nano-machine,30.4,23.1,synthetic
2025-01-15,nano-machine,55.1,36.6,synthetic
2025-01-16,nano-machine,56.8,41.7,synthetic
2025-01-17,nano-machine,37.2,24.8,synthetic
2025-01-18,nano-machine,31.9,24.7,synthetic
2025-01-19,nano-machine,35.0,24.8,synthetic
2025-01-20,nano-machine,36.8,26.1,synthetic
2025-01-21,nano-machine,37.2,37.1,synthetic
2025-01-22,nano-machine,28.4,20.2,synthetic
2025-01-23,nano-machine,60.0,30.2,synthetic
2025-01-24,nano-machine,36.0,23.7,synthetic
2025-01-25,nano-machine,37.8,18.5,synthetic
2025-01-26,nano-machine,38.6,37.0,synthetic
2025-01-27,nano-machine,27.4,19.9,synthetic
2025-01-28,nano-machine,31.1,22.2,synthetic
2025-01-29,nano-machine,34.3,19.7,synthetic
2025-01-30,nano-machine,88.1,62.4,synthetic
2025-01-31,nano-machine,39.1,28.8,synthetic
2025-02-01,nano-machine,46.8,42.2,synthetic
2025-02-02,nano-machine,31.6,30.7,synthetic
2025-02-03,nano-machine,49.9,61.9,synthetic
2025-02-04,nano-machine,32.1,33.8,synthetic
2025-02-05,nano-machine,33.2,37.3,synthetic
2025-02-06,nano-machine,57.3,47.2,synthetic
2025-02-07,nano-machine,23.3,18.0,synthetic
2025-02-08,nano-machine,58.5,40.2,synthetic
2025-02-09,nano-machine,29.7,24.1,synthetic
2025-02-10,nano-machine,29.4,24.4,synthetic
2025-02-11,nano-machine,34.8,21.2,synthetic
2025-02-12,nano-machine,36.9,35.6,synthetic
2025-02-13,nano-machine,52.1,53.4,synthetic
2025-02-14,nano-machine,31.8,23.5,synthetic
2025-02-15,nano-machine,29.0,18.0,synthetic
2025-02-16,nano-machine,38.3,27.6,synthetic
2025-02-17,nano-machine,42.1,25.9,synthetic
2025-02-18,nano-machine,50.0,43.0,synthetic
2025-02-19,nano-machine,39.4,32.6,synthetic
2025-02-20,nano-machine,60.0,44.0,synthetic
2025-02-21,nano-machine,29.4,21.3,synthetic
2025-02-22,nano-machine,41.8,34.8,synthetic
2025-02-23,nano-machine,39.0,41.3,synthetic
2025-02-24,nano-machine,42.4,41.0,synthetic
2025-02-25,nano-machine,26.4,26.4,synthetic
2025-02-26,nano-machine,39.2,33.3,synthetic
2025-02-27,nano-machine,66.6,52.8,synthetic
2025-02-28,nano-machine,40.7,28.1,synthetic
2025-03-01,nano-machine,27.9,15.0,synthetic
2025-03-02,nano-machine,18.6,11.3,synthetic
2025-03-03,nano-machine,36.2,32.2,synthetic
2025-03-04,nano-machine,31.8,32.0,synthetic
2025-03-05,nano-machine,31.5,25.9,synthetic
2025-03-06,nano-machine,53.9,47.9,synthetic
2025-03-07,nano-machine,31.7,27.1,synthetic
2025-03-08,nano-machine,26.0,14.3,synthetic
2025-03-09,nano-machine,30.8,24.9,synthetic
2025-03-10,nano-machine,31.5,33.5,synthetic
2025-03-11,nano-machine,28.3,29.2,synthetic
2025-03-12,nano-machine,32.8,26.9,synthetic
2025-03-13,nano-machine,59.6,51.7,synthetic
2025-03-14,nano-machine,39.6,35.9,synthetic
2025-03-15,nano-machine,38.5,37.1,synthetic
2025-03-16,nano-machine,40.2,30.2,synthetic
2025-03-17,nano-machine,28.7,23.5,synthetic
2025-03-18,nano-machine,36.4,23.3,synthetic
2025-03-19,nano-machine,30.6,25.4,synthetic
2025-03-20,nano-machine,39.7,22.1,synthetic
2025-03-21,nano-machine,43.8,36.4,synthetic
2025-03-22,nano-machine,42.3,35.7,synthetic
2025-03-23,nano-machine,30.0,23.1,synthetic
2025-03-24,nano-machine,25.1,15.3,synthetic
2025-03-25,nano-machine,39.8,45.7,synthetic
2025-03-26,nano-machine,24.6,16.9,synthetic
2025-03-27,nano-machine,74.7,44.6,synthetic
2025-03-28,nano-machine,23.8,24.6,synthetic
2025-03-29,nano-machine,32.0,29.6,synthetic
2025-03-30,nano-machine,27.8,18.4,synthetic
2025-03-31,nano-machine,29.8,21.9,synthetic
2025-04-01,nano-machine,30.9,18.4,synthetic
2025-04-02,nano-machine,42.3,34.0,synthetic
2025-04-03,nano-machine,59.5,55.7,synthetic
2025-04-04,nano-machine,34.4,30.5,synthetic
2025-04-05,nano-machine,37.6,24.5,synthetic
2025-04-06,nano-machine,27.1,28.6,synthetic
2025-04-07,nano-machine,32.2,29.4,synthetic
2025-04-08,nano-machine,30.6,27.0,synthetic
2025-04-09,nano-machine,29.2,31.2,synthetic
2025-04-10,nano-machine,70.1,37.0,synthetic
2025-04-11,nano-machine,28.3,21.5,synthetic
2025-04-12,nano-machine,34.3,28.2,synthetic
2025-04-13,nano-machine,32.1,22.1,synthetic
2025-04-14,nano-machine,29.7,27.0,synthetic
2025-04-15,nano-machine,36.0,32.1,synthetic
2025-04-16,nano-machine,28.6,31.4,synthetic
2025-04-17,nano-machine,43.1,40.7,synthetic
2025-04-18,nano-machine,34.9,25.9,synthetic
2025-04-19,nano-machine,31.4,25.2,synthetic
2025-04-20,nano-machine,46.0,44.0,synthetic
2025-04-21,nano-machine,32.9,34.1,synthetic
2025-04-22,nano-machine,37.0,27.1,synthetic
2025-04-23,nano-machine,30.3,34.7,synthetic
2025-04-24,nano-machine,51.8,40.0,synthetic
2025-04-25,nano-machine,26.2,29.3,synthetic
2025-04-26,nano-machine,32.7,25.4,synthetic
2025-04-27,nano-machine,44.3,28.0,synthetic
2025-04-28,nano-machine,31.8,43.2,synthetic
2025-04-29,nano-machine,33.3,32.6,synthetic
2025-04-30,nano-machine,32.2,33.7,synthetic
2025-05-01,nano-machine,59.4,43.2,synthetic
2025-05-02,nano-machine,32.5,37.1,synthetic
2025-05-03,nano-machine,34.9,35.5,synthetic
2025-05-04,nano-machine,29.9,13.9,synthetic
2025-05-05,nano-machine,30.0,31.3,synthetic
2025-05-06,nano-machine,36.5,17.1,synthetic
2025-05-07,nano-machine,27.3,27.1,synthetic
2025-05-08,nano-machine,66.8,50.7,synthetic
2025-05-09,nano-machine,36.4,35.3,synthetic
2025-05-10,nano-machine,32.9,27.9,synthetic
2025-05-11,nano-machine,32.3,21.0,synthetic
2025-05-12,nano-machine,21.5,12.8,synthetic
2025-05-13,nano-machine,31.6,23.8,synthetic
2025-05-14,nano-machine,35.6,22.9,synthetic
2025-05-15,nano-machine,77.0,44.7,synthetic
2025-05-16,nano-machine,38.2,26.6,synthetic
2025-05-17,nano-machine,31.3,25.4,synthetic
2025-05-18,nano-machine,41.5,31.0,synthetic
2025-05-19,nano-machine,28.0,27.8,synthetic
2025-05-20,nano-machine,41.2,25.9,synthetic
2025-05-21,nano-machine,22.2,14.1,synthetic
2025-05-22,nano-machine,58.7,49.5,synthetic
2025-05-23,nano-machine,39.3,35.2,synthetic
2025-05-24,nano-machine,39.1,24.1,synthetic
2025-05-25,nano-machine,25.1,30.5,synthetic
2025-05-26,nano-machine,27.7,16.2,synthetic
2025-05-27,nano-machine,33.6,24.7,synthetic
2025-05-28,nano-machine,31.4,27.5,synthetic
2025-05-29,nano-machine,62.0,44.5,synthetic
2025-05-30,nano-machine,39.0,32.1,synthetic
2025-05-31,nano-machine,24.7,19.5,synthetic
2025-06-01,nano-machine,27.7,19.0,synthetic
2025-06-02,nano-machine,27.3,17.6,synthetic
2025-06-03,nano-machine,36.0,24.0,synthetic
2025-06-04,nano-machine,36.4,22.6,synthetic
2025-06-05,nano-machine,69.2,54.8,synthetic
2025-06-06,nano-machine,32.5,22.7,synthetic
2025-06-07,nano-machine,22.9,16.2,synthetic
2025-06-08,nano-machine,38.5,39.1,synthetic
2025-06-09,nano-machine,29.0,20.2,synthetic
2025-06-10,nano-machine,39.0,28.2,synthetic
2025-06-11,nano-machine,36.9,35.3,synthetic
2025-06-12,nano-machine,62.6,48.7,synthetic
2025-06-13,nano-machine,32.3,30.5,synthetic
2025-06-14,nano-machine,51.8,37.0,synthetic
2025-06-15,nano-machine,31.7,27.9,synthetic
2025-06-16,nano-machine,42.6,39.8,synthetic
2025-06-17,nano-machine,35.4,24.6,synthetic
2025-06-18,nano-machine,42.8,38.4,synthetic
2025-06-19,nano-machine,90.0,57.7,synthetic
2025-06-20,nano-machine,29.0,23.5,synthetic
2025-06-21,nano-machine,39.8,40.9,synthetic
2025-06-22,nano-machine,35.5,29.3,synthetic
2025-06-23,nano-machine,35.9,23.5,synthetic
2025-06-24,nano-machine,36.0,20.2,synthetic
2025-06-25,nano-machine,48.2,36.4,synthetic
2025-06-26,nano-machine,86.4,108.7,synthetic
2025-06-27,nano-machine,35.9,32.4,synthetic
2025-06-28,nano-machine,38.5,38.7,synthetic
2025-06-29,nano-machine,35.7,25.5,synthetic
2025-06-30,nano-machine,45.7,34.5,synthetic
2025-07-01,nano-machine,39.3,22.0,synthetic
2025-07-02,nano-machine,35.7,28.0,synthetic
2025-07-03,nano-machine,87.8,72.0,synthetic
2025-07-04,nano-machine,33.5,24.0,synthetic
2025-07-05,nano-machine,43.6,40.6,synthetic
2025-07-06,nano-machine,49.3,53.6,synthetic
2025-07-07,nano-machine,29.2,20.2,synthetic
2025-07-08,nano-machine,37.1,26.3,synthetic
2025-07-09,nano-machine,35.1,38.7,synthetic
2025-07-10,nano-machine,60.9,59.2,synthetic
2025-07-11,nano-machine,30.0,17.9,synthetic
2025-07-12,nano-machine,53.5,28.9,synthetic
2025-07-13,nano-machine,50.3,30.7,synthetic
2025-07-14,nano-machine,23.6,16.6,synthetic
2025-07-15,nano-machine,58.4,57.7,synthetic
2025-07-16,nano-machine,36.5,42.1,synthetic
2025-07-17,nano-machine,56.0,45.8,synthetic
2025-07-18,nano-machine,34.1,26.4,synthetic
2025-07-19,nano-machine,43.8,42.6,synthetic
2025-07-20,nano-machine,35.3,37.6,synthetic
2025-07-21,nano-machine,37.3,22.6,synthetic
2025-07-22,nano-machine,30.7,23.9,synthetic
2025-07-23,nano-machine,35.7,34.6,synthetic
2025-07-24,nano-machine,73.0,79.9,synthetic
2025-07-25,nano-machine,35.1,21.7,synthetic
2025-07-26,nano-machine,35.0,29.3,synthetic
2025-07-27,nano-machine,42.8,35.1,synthetic
2025-07-28,nano-machine,33.0,25.1,synthetic
2025-07-29,nano-machine,53.9,58.6,synthetic
2025-07-30,nano-machine,38.6,30.2,synthetic
2025-07-31,nano-machine,95.7,81.1,synthetic
2025-08-01,nano-machine,50.5,28.7,synthetic
2025-08-02,nano-machine,36.2,20.7,synthetic
2025-08-03,nano-machine,36.1,34.5,synthetic
2025-08-04,nano-machine,47.2,46.0,synthetic
2025-08-05,nano-machine,44.1,24.2,synthetic
2025-08-06,nano-machine,32.9,22.7,synthetic
2025-08-07,nano-machine,105.7,62.3,synthetic
2025-08-08,nano-machine,40.7,25.3,synthetic
2025-08-09,nano-machine,46.7,39.4,synthetic
2025-08-10,nano-machine,34.7,34.3,synthetic
2025-08-11,nano-machine,62.8,46.7,synthetic
2025-08-12,nano-machine,39.5,28.3,synthetic
2025-08-13,nano-machine,32.8,33.9,synthetic
2025-08-14,nano-machine,68.6,50.5,synthetic
2025-08-15,nano-machine,47.0,28.3,synthetic
2025-08-16,nano-machine,52.5,42.8,synthetic
2025-08-17,nano-machine,53.3,57.0,synthetic
2025-08-18,nano-machine,34.1,22.9,synthetic
2025-08-19,nano-machine,36.9,27.8,synthetic
2025-08-20,nano-machine,50.6,45.8,synthetic
2025-08-21,nano-machine,66.6,62.2,synthetic
2025-08-22,nano-machine,45.4,35.3,synthetic
2025-08-23,nano-machine,31.5,32.1,synthetic
2025-08-24,nano-machine,49.9,51.8,synthetic
2025-08-25,nano-machine,37.4,26.7,synthetic
2025-08-26,nano-machine,36.8,25.3,synthetic
2025-08-27,nano-machine,45.7,28.5,synthetic
2025-08-28,nano-machine,72.5,38.6,synthetic
2025-08-29,nano-machine,34.9,42.3,synthetic
2025-08-30,nano-machine,35.7,32.1,synthetic
2025-08-31,nano-machine,43.5,46.2,synthetic
2025-09-01,nano-machine,45.3,38.3,synthetic
2025-09-02,nano-machine,38.1,19.4,synthetic
2025-09-03,nano-machine,51.6,40.1,synthetic
2025-09-04,nano-machine,100.1,95.1,synthetic
2025-09-05,nano-machine,42.2,23.4,synthetic
2025-09-06,nano-machine,55.7,31.1,synthetic
2025-09-07,nano-machine,47.3,55.9,synthetic
2025-09-08,nano-machine,47.1,36.8,synthetic
2025-09-09,nano-machine,61.4,36.8,synthetic
2025-09-10,nano-machine,32.4,34.7,synthetic
2025-09-11,nano-machine,90.4,56.6,synthetic
2025-09-12,nano-machine,40.8,36.2,synthetic
2025-09-13,nano-machine,54.3,28.2,synthetic
2025-09-14,nano-machine,52.1,36.0,synthetic
2025-09-15,nano-machine,48.5,45.0,synthetic
2025-09-16,nano-machine,42.6,41.1,synthetic
2025-09-17,nano-machine,36.5,30.6,synthetic
2025-09-18,nano-machine,76.1,56.4,synthetic
2025-09-19,nano-machine,39.4,26.5,synthetic
2025-09-20,nano-machine,52.1,50.5,synthetic
2025-09-21,nano-machine,54.7,44.7,synthetic
2025-09-22,nano-machine,46.9,39.5,synthetic
2025-09-23,nano-machine,43.7,32.6,synthetic
2025-09-24,nano-machine,41.7,31.2,synthetic
2025-09-25,nano-machine,80.6,74.0,synthetic
2025-09-26,nano-machine,49.5,47.1,synthetic
2025-09-27,nano-machine,78.7,58.8,synthetic
2025-09-28,nano-machine,40.3,23.7,synthetic
2025-09-29,nano-machine,50.9,53.1,synthetic
2025-09-30,nano-machine,33.7,23.3,synthetic
2025-10-01,nano-machine,37.6,24.9,synthetic
2025-10-02,nano-machine,75.5,83.4,synthetic
2025-10-03,nano-machine,50.1,40.7,synthetic
2025-10-04,nano-machine,56.6,50.5,synthetic
2025-10-05,nano-machine,69.3,47.9,synthetic
2025-10-06,nano-machine,48.7,34.9,synthetic
2025-10-07,nano-machine,38.8,29.2,synthetic
2025-10-08,nano-machine,41.0,26.0,synthetic
2025-10-09,nano-machine,115.9,69.5,synthetic
2025-10-10,nano-machine,47.3,26.8,synthetic
2025-10-11,nano-machine,40.7,37.2,synthetic
2025-10-12,nano-machine,55.3,51.4,synthetic
2025-10-13,nano-machine,34.6,27.8,synthetic
2025-10-14,nano-machine,41.5,30.3,synthetic
2025-10-15,nano-machine,43.8,32.7,synthetic
2025-10-16,nano-machine,73.2,62.7,synthetic
2025-10-17,nano-machine,67.8,77.7,synthetic
2025-10-18,nano-machine,44.1,22.2,synthetic
2025-10-19,nano-machine,57.3,52.1,synthetic
2025-10-20,nano-machine,39.5,22.6,synthetic
2025-10-21,nano-machine,53.3,42.5,synthetic
2025-10-22,nano-machine,42.9,27.5,synthetic
2025-10-23,nano-machine,115.1,79.5,synthetic
2025-10-24,nano-machine,56.3,46.2,synthetic
2025-10-25,nano-machine,47.3,24.1,synthetic
2025-10-26,nano-machine,54.4,44.1,synthetic
2025-10-27,nano-machine,40.0,36.4,synthetic
2025-10-28,nano-machine,46.8,33.7,synthetic
2025-10-29,nano-machine,52.5,55.9,synthetic
2025-10-30,nano-machine,86.3,74.1,synthetic
2025-10-31,nano-machine,45.3,30.3,synthetic
2025-11-01,nano-machine,47.3,18.2,synthetic
2025-11-02,nano-machine,55.9,50.4,synthetic
2025-11-03,nano-machine,55.1,38.9,synthetic
2025-11-04,nano-machine,48.6,30.4,synthetic
2025-11-05,nano-machine,48.0,27.3,synthetic
2025-11-06,nano-machine,88.4,62.7,synthetic
2025-11-07,nano-machine,67.9,47.6,synthetic
2025-11-08,nano-machine,52.7,49.1,synthetic
2025-11-09,nano-machine,45.5,27.8,synthetic
2025-11-10,nano-machine,42.6,38.8,synthetic
2025-11-11,nano-machine,58.0,44.5,synthetic
2025-11-12,nano-machine,52.8,34.8,synthetic
2025-11-13,nano-machine,91.9,69.3,synthetic
2025-11-14,nano-machine,51.2,49.4,synthetic
2025-11-15,nano-machine,42.5,40.3,synthetic
2025-11-16,nano-machine,42.9,34.4,synthetic
2025-11-17,nano-machine,55.5,38.1,synthetic
2025-11-18,nano-machine,54.3,50.2,synthetic
2025-11-19,nano-machine,38.9,24.0,synthetic
2025-11-20,nano-machine,77.0,56.1,synthetic
2025-11-21,nano-machine,43.3,29.5,synthetic
2025-11-22,nano-machine,35.1,32.8,synthetic
2025-11-23,nano-machine,65.1,41.4,synthetic
2025-11-24,nano-machine,52.1,34.9,synthetic
2025-11-25,nano-machine,57.1,29.8,synthetic
2025-11-26,nano-machine,42.0,35.3,synthetic
2025-11-27,nano-machine,74.9,85.2,synthetic
2025-11-28,nano-machine,47.7,29.8,synthetic
2025-11-29,nano-machine,48.4,44.3,synthetic
