date,canonical_id,title,theme,decade,track,price
2024-07-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,89.46
2024-07-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,87.36
2024-07-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,85.76
2024-07-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,82.52
2024-07-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.35
2024-07-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,81.37
2024-07-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,81.65
2024-07-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.41
2024-07-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.09
2024-07-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.42
2024-07-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.99
2024-07-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,82.3
2024-07-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,82.32
2024-07-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,82.09
2024-07-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,78.21
2024-07-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,77.22
2024-07-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,79.45
2024-07-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,78.78
2024-07-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.75
2024-07-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.22
2024-07-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.41
2024-07-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,75.97
2024-07-31,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,74.79
2024-08-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,76.28
2024-08-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,77.2
2024-08-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,78.54
2024-08-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,80.32
2024-08-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,77.8
2024-08-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,83.43
2024-08-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,84.23
2024-08-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,83.22
2024-08-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,84.75
2024-08-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,83.92
2024-08-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,83.9
2024-08-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,81.96
2024-08-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,79.1
2024-08-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,76.99
2024-08-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,78.73
2024-08-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,77.37
2024-08-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,77.0
2024-08-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,75.11
2024-08-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,72.91
2024-08-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,69.24
2024-08-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,70.88
2024-08-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,75.38
2024-08-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,76.33
2024-08-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,77.72
2024-08-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,76.49
2024-08-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,75.55
2024-08-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,73.0
2024-08-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,71.58
2024-08-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,72.92
2024-08-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,72.46
2024-08-31,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,70.45
2024-09-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.49
2024-09-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,69.95
2024-09-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.47
2024-09-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.72
2024-09-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.91
2024-09-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.17
2024-09-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.3
2024-09-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.52
2024-09-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.09
2024-09-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.9
2024-09-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.41
2024-09-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.34
2024-09-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.94
2024-09-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.79
2024-09-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.41
2024-09-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.39
2024-09-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.56
2024-09-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.17
2024-09-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.67
2024-09-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.1
2024-09-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.97
2024-09-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.79
2024-09-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.74
2024-09-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.1
2024-09-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.5
2024-09-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.41
2024-09-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.62
2024-09-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.14
2024-09-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.26
2024-09-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.29
2024-10-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.03
2024-10-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.55
2024-10-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.82
2024-10-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.15
2024-10-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.61
2024-10-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.32
2024-10-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.8
2024-10-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.68
2024-10-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.59
2024-10-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.52
2024-10-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.31
2024-10-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.07
2024-10-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,65.12
2024-10-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,65.61
2024-10-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.87
2024-10-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.86
2024-10-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.57
2024-10-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.87
2024-10-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.98
2024-10-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.14
2024-10-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.68
2024-10-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.02
2024-10-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.76
2024-10-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.19
2024-10-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.54
2024-10-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.58
2024-10-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.08
2024-10-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.88
2024-10-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.3
2024-10-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.28
2024-10-31,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.87
2024-11-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.05
2024-11-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.61
2024-11-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.8
2024-11-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.39
2024-11-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.05
2024-11-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.62
2024-11-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.5
2024-11-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.73
2024-11-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.3
2024-11-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.6
2024-11-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.65
2024-11-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.05
2024-11-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.93
2024-11-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.42
2024-11-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.74
2024-11-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.37
2024-11-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.01
2024-11-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.48
2024-11-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.25
2024-11-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.79
2024-11-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.1
2024-11-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.87
2024-11-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.85
2024-11-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.05
2024-11-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.74
2024-11-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.56
2024-11-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.07
2024-11-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.39
2024-11-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.71
2024-11-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.26
2024-12-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.97
2024-12-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.22
2024-12-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.59
2024-12-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.5
2024-12-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.76
2024-12-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,68.44
2024-12-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.45
2024-12-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,66.11
2024-12-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.38
2024-12-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.11
2024-12-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.08
2024-12-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.78
2024-12-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,66.24
2024-12-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,66.63
2024-12-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,66.64
2024-12-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,66.33
2024-12-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.02
2024-12-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.14
2024-12-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.02
2024-12-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.78
2024-12-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.63
2024-12-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.05
2024-12-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.87
2024-12-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,67.39
2024-12-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.31
2024-12-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.64
2024-12-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.88
2024-12-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.66
2024-12-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.1
2024-12-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.72
2024-12-31,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.64
2025-01-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.01
2025-01-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.26
2025-01-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.49
2025-01-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.67
2025-01-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.07
2025-01-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.49
2025-01-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.83
2025-01-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.05
2025-01-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,65.03
2025-01-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.95
2025-01-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.2
2025-01-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.55
2025-01-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.56
2025-01-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.37
2025-01-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,53.11
2025-01-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.34
2025-01-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.14
2025-01-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.83
2025-01-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.17
2025-01-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.05
2025-01-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.01
2025-01-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.75
2025-01-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.31
2025-01-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.73
2025-01-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.59
2025-01-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.39
2025-01-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.58
2025-01-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,53.56
2025-01-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,52.54
2025-01-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.62
2025-01-31,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.5
2025-02-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.71
2025-02-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.29
2025-02-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.37
2025-02-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.83
2025-02-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.94
2025-02-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.92
2025-02-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.53
2025-02-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.04
2025-02-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.7
2025-02-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.16
2025-02-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.53
2025-02-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.34
2025-02-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.07
2025-02-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.45
2025-02-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.92
2025-02-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.37
2025-02-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.38
2025-02-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.12
2025-02-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.93
2025-02-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.85
2025-02-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.65
2025-02-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.88
2025-02-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.19
2025-02-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.74
2025-02-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.59
2025-02-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.12
2025-02-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.01
2025-02-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.07
2025-03-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,66.36
2025-03-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.76
2025-03-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.65
2025-03-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,63.36
2025-03-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.83
2025-03-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.68
2025-03-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.6
2025-03-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.68
2025-03-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.73
2025-03-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.45
2025-03-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.13
2025-03-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.23
2025-03-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.65
2025-03-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.83
2025-03-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.06
2025-03-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.6
2025-03-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.83
2025-03-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.35
2025-03-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.16
2025-03-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.02
2025-03-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.38
2025-03-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,53.75
2025-03-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.5
2025-03-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,53.84
2025-03-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.41
2025-03-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.19
2025-03-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.14
2025-03-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.41
2025-03-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.36
2025-03-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.18
2025-03-31,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.08
2025-04-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.53
2025-04-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,53.06
2025-04-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,53.22
2025-04-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.93
2025-04-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.32
2025-04-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.1
2025-04-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,53.25
2025-04-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.37
2025-04-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.23
2025-04-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.58
2025-04-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.5
2025-04-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,59.1
2025-04-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.25
2025-04-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.83
2025-04-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.01
2025-04-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.56
2025-04-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.56
2025-04-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.86
2025-04-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.61
2025-04-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.19
2025-04-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.27
2025-04-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.33
2025-04-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.31
2025-04-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.99
2025-04-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.92
2025-04-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.25
2025-04-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.68
2025-04-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.2
2025-04-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.5
2025-04-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.02
2025-05-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.0
2025-05-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.44
2025-05-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,64.15
2025-05-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,62.44
2025-05-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.31
2025-05-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.99
2025-05-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,60.02
2025-05-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.61
2025-05-09,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.38
2025-05-10,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.78
2025-05-11,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,61.34
2025-05-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,58.77
2025-05-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.52
2025-05-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.26
2025-05-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.0
2025-05-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,56.35
2025-05-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.8
2025-05-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,57.03
2025-05-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.74
2025-05-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.1
2025-05-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.67
2025-05-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.33
2025-05-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.95
2025-05-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,55.31
2025-05-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.47
2025-05-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,54.02
