canonical_id,total_return_pct,ann_vol,mean_return_pct,title,theme,decade,popularity,has_real_data
roxana,-37.059,0.469,-23.18,Roxana,Villainess,2020s,19780,False
second-life-ranker,-26.188,0.485,-15.203,Second Life Ranker,Alternate Universe,2010s,43108,True
shotgun-boy,-40.286,0.443,-25.815,Shotgun Boy,Demons,2020s,21056,False
singwahamkke-doraon-gisawangnim,-44.928,0.459,-29.867,Singwahamkke Doraon Gisawangnim,Gods,2020s,17237,False
solo-leveling,81.671,0.448,29.892,Solo Leveling,Dungeon,2010s,276778,True
solo-leveling-ragnarok,-24.748,0.476,-14.236,Solo Leveling: Ragnarok,Super Power,2020s,30756,False
sss-class-revival-hunter,58.248,0.442,22.981,SSS-Class Revival Hunter,Time Manipulation,2020s,63373,True
surviving-the-game-as-a-barbarian,-55.128,0.439,-40.123,Surviving the Game as a Barbarian,Dungeon,2020s,18201,False
sweet-home,-61.613,0.478,-47.939,Sweet Home,Post-Apocalyptic,2010s,54020,True
teenage-mercenary,-6.935,0.45,-3.598,Teenage Mercenary,Kuudere,2020s,54340,True
the-100th-regression-of-the-max-level-player,-35.141,0.458,-21.678,The 100th Regression of the Max-Level Player,Reincarnation,2020s,20376,False
the-academy-s-genius-swordsman,24.207,0.479,10.854,The Academy's Genius Swordsman,Swordplay,2020s,26697,False
the-academy-s-sashimi-sword-master,20.546,0.491,9.356,The Academy’s Sashimi Sword Master,Female Harem,2020s,12152,False
the-academy-s-undercover-professor,-22.796,0.459,-12.954,The Academy's Undercover Professor,School,2020s,21483,False
the-advanced-player-of-the-tutorial-tower,-47.604,0.466,-32.361,The Advanced Player of the Tutorial Tower,Urban Fantasy,2020s,24470,False
the-archmage-returns-after-4000-years,-65.236,0.475,-52.901,The Archmage Returns After 4000 Years,Magic,2020s,36798,False
the-art-of-reincarnation,-10.669,0.461,-5.649,The Art of Reincarnation,Reincarnation,2020s,19060,False
the-boxer,-0.359,0.48,-0.18,The Boxer,Boxing,2010s,42067,True
the-breaker,73.791,0.46,27.672,THE BREAKER,Martial Arts,2000s,38866,False
the-breaker-new-waves,32.394,0.489,14.05,THE BREAKER - NEW WAVES,Martial Arts,2010s,22259,False
the-extra-s-academy-survival-guide,-54.344,0.477,-39.256,The Extra’s Academy Survival Guide,Magic,2020s,26849,False
the-frozen-player-returns,-9.633,0.473,-5.072,The Frozen Player Returns,Dungeon,2020s,25239,False
the-gamer,-23.616,0.447,-13.488,The Gamer,Video Games,2010s,21561,False
the-god-of-high-school,-50.672,0.455,-35.382,The God of High School,Martial Arts,2010s,53333,True
the-greatest-estate-developer,-36.936,0.461,-23.083,The Greatest Estate Developer,Surreal Comedy,2020s,61503,True
the-horizon,-4.997,0.465,-2.567,The Horizon,Survival,2010s,62444,True
the-infinite-mage,-41.016,0.448,-26.431,The Infinite Mage,Magic,2020s,36798,True
the-knight-only-lives-today,-32.447,0.46,-19.64,The Knight Only Lives Today,Time Loop,2020s,23105,False
the-lazy-lord-masters-the-sword,7.955,0.462,3.833,The Lazy Lord Masters the Sword,Swordplay,2020s,30582,True
the-legend-of-the-northern-blade,-74.414,0.451,-68.25,The Legend of the Northern Blade,Martial Arts,2010s,43700,True
the-max-level-hero-strikes-back,-24.12,0.475,-13.82,The Max Level Hero Strikes Back!,Politics,2020s,30140,False
the-novel-s-extra,-68.214,0.478,-57.386,The Novel's Extra,Isekai,2020s,27376,False
the-player-who-can-t-level-up,29.034,0.444,12.763,The Player Who Can't Level Up,Dungeon,2020s,34275,False
the-reaper,-29.301,0.451,-17.361,The Reaper,Assassins,2020s,21292,False
the-reason-why-raeliana-ended-up-at-the-duke-s-mansion,-29.328,0.442,-17.38,The Reason Why Raeliana Ended Up at the Duke's Mansion,Isekai,2010s,27738,False
the-reborn-young-lord-is-an-assassin,-27.102,0.458,-15.827,The Reborn Young Lord is an Assassin,Assassins,2020s,21619,False
the-regressed-mercenary-has-a-plan,22.237,0.457,10.054,The Regressed Mercenary Has a Plan,Revenge,2020s,20197,False
the-remarried-empress,-73.715,0.444,-66.9,The Remarried Empress,Royal Affairs,2010s,19909,False
the-return-of-the-8th-class-mage,19.988,0.448,9.124,The Return of the 8th Class Mage,Age Regression,2020s,26274,False
the-return-of-the-disaster-class-hero,-11.112,0.448,-5.898,The Return of the Disaster-Class Hero,Revenge,2020s,36266,True
the-skeleton-soldier-failed-to-defend-the-dungeon,-55.625,0.459,-40.681,The Skeleton Soldier Failed to Defend the Dungeon,Time Manipulation,2010s,24497,False
the-sound-of-magic-annarasumanara,35.551,0.461,15.23,The Sound of Magic: Annarasumanara,Philosophy,2010s,20957,False
the-stellar-swordmaster,-1.968,0.452,-0.995,The Stellar Swordmaster,Swordplay,2020s,27294,True
the-swordmaster-s-son,31.038,0.463,13.534,The Swordmaster's Son,Age Regression,2020s,40510,True
the-villainess-turns-the-hourglass,-57.598,0.456,-42.958,The Villainess Turns the Hourglass,Revenge,2020s,21675,False
the-world-after-the-fall,170.474,0.466,49.819,The World After the Fall,Dungeon,2020s,41800,True
time-limited-genius-dark-knight,-40.117,0.465,-25.674,Time-Limited Genius Dark Knight,Isekai,2020s,17432,False
tomb-raider-king,-22.924,0.461,-13.037,Tomb Raider King,Mythology,2010s,34427,False
tower-of-god,21.635,0.458,9.806,Tower of God,Super Power,2010s,97490,True
unholy-blood,-22.792,0.469,-12.951,Unholy Blood,Vampire,2020s,24795,False
villain-to-kill,-46.076,0.455,-30.922,Villain to Kill,Super Power,2020s,21111,False
villains-are-destined-to-die,-70.581,0.482,-61.261,Villains Are Destined to Die,Villainess,2020s,39742,False
viral-hit,-46.993,0.465,-31.781,Viral Hit,Martial Arts,2010s,27497,False
weak-hero,-0.794,0.476,-0.399,Weak Hero,School,2010s,21008,False
who-made-me-a-princess,-25.655,0.456,-14.843,Who Made Me a Princess,Reincarnation,2010s,38532,False
wind-breaker,126.615,0.45,40.96,Wind Breaker,Cycling,2010s,41303,False
your-throne,-10.624,0.454,-5.624,Your Throne,Revenge,2020s,21561,False
